How many hours of sleep do you get on average per night? , How would you rate your sleep quality?  ,  How often do you exercise in a week?  ,"  On a scale of 1 to 10, how stressed do you feel today?  ",  How often do you feel academic stress?  ,  How frequently do you interact socially with others(friends or family)?  ,"  On a scale of 1 to 10, how would you rate your overall mood today?  ","  On a scale of 1 to 10, how happy do you feel overall?  ",  How often do you experience anxiety symptoms?  ,"Based on your overall feelings, how would you describe your mental health status? "
0.0,0.0,0.0,0.5555555555555556,1.0,0.0,0.4444444444444445,0.75,0.0,1.0
2.0,0.0,1.0,0.5555555555555556,0.0,2.0,0.4444444444444445,0.5,0.0,1.0
0.0,0.0,0.0,0.7777777777777779,0.0,1.0,0.4444444444444445,0.625,1.0,1.0
1.0,0.0,1.0,0.33333333333333337,1.0,0.0,0.2222222222222222,0.625,0.0,1.0
0.0,0.0,0.0,0.33333333333333337,0.0,0.0,0.33333333333333337,0.5,0.0,1.0
2.0,0.0,0.0,0.33333333333333337,2.0,0.0,0.0,0.625,0.0,1.0
2.0,0.0,3.0,0.6666666666666667,0.0,2.0,0.4444444444444445,0.375,2.0,1.0
1.0,1.0,3.0,0.22222222222222227,2.0,0.0,0.7777777777777779,0.875,0.0,2.0
2.0,0.0,0.0,0.0,3.0,3.0,0.7777777777777779,1.0,0.0,2.0
0.0,2.0,3.0,0.6666666666666667,3.0,0.0,0.4444444444444445,0.625,0.0,1.0
1.0,1.0,0.0,0.33333333333333337,1.0,0.0,0.33333333333333337,0.625,0.0,1.0
1.0,1.0,2.0,0.22222222222222227,1.0,2.0,0.888888888888889,1.0,0.0,2.0
0.0,0.0,2.0,0.0,3.0,0.0,0.7777777777777779,0.5,0.0,2.0
3.0,1.0,1.0,0.44444444444444453,3.0,3.0,0.4444444444444445,0.375,1.0,1.0
3.0,1.0,3.0,0.0,3.0,1.0,0.0,0.375,2.0,2.0
0.0,0.0,1.0,0.7777777777777779,0.0,3.0,0.4444444444444445,0.5,0.0,2.0
0.0,0.0,0.0,0.0,2.0,0.0,0.6666666666666667,1.0,0.0,2.0
2.0,0.0,0.0,0.22222222222222227,1.0,3.0,0.0,0.375,0.0,1.0
2.0,1.0,0.0,0.6666666666666667,1.0,0.0,0.4444444444444445,0.5,1.0,1.0
2.0,2.0,0.0,1.0,0.0,2.0,0.2222222222222222,0.5,1.0,0.0
3.0,1.0,1.0,0.44444444444444453,3.0,0.0,0.6666666666666667,0.5,0.0,1.0
0.0,0.0,0.0,0.44444444444444453,1.0,0.0,0.5555555555555556,0.625,1.0,1.0
1.0,1.0,3.0,0.22222222222222227,3.0,2.0,0.33333333333333337,0.375,0.0,1.0
0.0,1.0,0.0,0.5555555555555556,3.0,0.0,0.4444444444444445,0.25,0.0,1.0
0.0,0.0,1.0,0.0,3.0,3.0,1.0,0.0,0.0,2.0
2.0,0.0,3.0,0.6666666666666667,1.0,2.0,0.5555555555555556,0.5,2.0,1.0
1.0,2.0,3.0,0.22222222222222227,1.0,2.0,0.6666666666666667,0.0,2.0,2.0
